泥石流隐患点 9412
100.2122 30.6294 5133290013D
100.2731 30.8914 5133290015D
100.2494 30.9094 5133290039D
100.3708 31.0517 5133290047D
99.8336 28.8664 5133360012D
102.7097 30.3517 5118250002D
103.1444 30.4839 5118260006D
103.1244 30.4992 5118260011D
100.19 31.7736 5133280003D
100.1625 30.8525 5133290003D
99.8375 28.8356 5133360008D
99.56 29.3069 5133360033D
99.4469 29.0728 5133360046D
103.4178 27.9858 5134370030D
99.9 28.7156 5133360001D
99.8306 28.835 5133360018D
99.8289 28.7819 5133360021D
99.5628 29.335 5133360035D
99.8603 28.7469 5133360078D
102.6419 26.5319 5134260001D
102.5856 27.2986 5134280002D
103.0078 28.2819 5134360051D
102.942 28.4844 5134360058D
103.3978 28.1158 5134370021D
102.6336 31.9742 5132330001D
101.9275 30.1425 5133210002D
100.9308 31.1433 5133260020D
101.36 30.96 5133260028D
103.5889 32.6183 5132240058D
102.0511 31.2939 5132260005D
102.0481 31.4206 5132260027D
102.0631 31.435 5132260028D
102.0017 31.2436 5132260049D
102.1414 31.3889 5132260069D
103.4061 31.9975 5132280042D
101.7008 32.1539 5132290076D
99.3803 29.0736 5133380019D
99.3636 29.0264 5133380021D
102.6089 27.5089 5134280005D
103.0617 28.3017 5134360002D
102.9506 28.4217 5134360016D
103.0331 28.1003 5134360048D
103.7169 28.4658 5134370002D
103.5458 28.2058 5134370011D
103.6039 28.5178 5134370016D
103.3878 28.1589 5134370027D
102.1864 32.1581 5132290054D
101.0264 32.195 5132300002D
100.8197 31.16 5133260013D
100.9308 31.1433 5133260018D
101.26 31.03 5133260035D
100.2244 30.6442 5133290010D
100.3158 31.1803 5133290021D
100.28 30.9108 5133290037D
100.3192 31.1033 5133290042D
100.3206 31.0883 5133290043D
103.9986 33.5236 5132250100D
104.0447 33.5117 5132250104D
104.0033 33.5125 5132250108D
104.06 33.4403 5132250117D
104.0564 33.4172 5132250120D
103.8236 33.6094 5132250125D
103.9697 33.5769 5132250133D
102.0425 29.8006 5133220138D
102.0408 29.8131 5133220139D
102.0639 29.7039 5133220142D
100.7272 31.8678 5133330004D
100.7272 31.8678 5133330006D
100.6978 31.8686 5133330007D
100.7272 31.8678 5133330008D
100.3495 29.0544 5133370002D
100.3444 28.5597 5133370003D
101.3667 27.4511 5134230001D
101.8333 27.9167 5134230006D
102.8321 27.5759 5134290002D
102.8253 27.5502 5134290004D
104.2453 33.2306 5132250015D
99.8169 28.9669 5133360062D
99.9078 29.1294 5133360065D
99.7689 28.9708 5133360066D
103.0908 28.4708 5134360004D
102.9492 28.3817 5134360026D
103.0678 28.1456 5134360044D
103.3939 28.1119 5134370023D
103.435 28.1508 5134370025D
100.052 30.5361 5133340007D
99.8336 28.8664 5133360013D
99.4681 29.1808 5133360069D
99.8594 28.7925 5133360083D
103.0819 28.3019 5134360003D
102.9519 28.3708 5134360020D
102.9458 28.4694 5134360055D
103.0539 28.2581 5134360062D
103.8495 28.4019 5134370001D
101.1778 31.2878 5133260044D
100.1045 30.795 5133290030D
100.1842 31.455 5133290050D
100.5514 30.5069 5133290064D
105.1208 32.3917 5108220005D
105.3158 32.5686 5108220006D
105.0708 32.3736 5108220008D
104.2206 33.3347 5108220009D
103.3014 30.5522 5101290001D
103.5628 31.0758 5101810006D
103.5658 31.0833 5101810007D
103.6283 31.0947 5101810010D
101.0489 31.0408 5133260063D
100.0442 30.8156 5133290029D
100.3172 30.9964 5133290034D
98.7944 31.6469 5133300004D
98.9031 31.3825 5133310002D
98.8272 31.1969 5133310006D
99.8375 28.8356 5133360009D
99.835 28.8419 5133360014D
119.1892 35.5728 3711020005D
119.3861 35.5669 3711020006D
119.545 35.4825 3711020007D
117.355 36.4092 3712020001D
117.3686 36.4233 3712020002D
117.3878 36.4053 3712020003D
117.3919 36.3917 3712020004D
117.3961 36.385 3712020005D
117.5869 36.4833 3712020006D
117.6083 36.4708 3712020007D
117.6108 36.4917 3712020008D
117.6833 36.1086 3712020009D
117.9247 36.2081 3712020011D
117.8339 36.2094 3712020012D
117.3642 36.3686 3712020020D
117.3672 36.3606 3712020021D
117.3422 36.4294 3712020022D
117.4092 36.4556 3712020023D
117.4294 36.44 3712020024D
117.655 36.5172 3712020026D
117.7411 36.4197 3712020027D
100.3 30.4758 5133340005D
99.8375 28.8356 5133360002D
99.8336 28.8664 5133360006D
99.8594 28.7925 5133360084D
99.5239 29.2228 5133360087D
102.5644 27.3828 5134280001D
102.565 27.3578 5134280004D
101.19 31.19 5133260016D
102.375 29.2139 5118240003D
107.0069 32.3386 5119220003D
106.7592 32.5047 5119220005D
104.2283 33.2956 5132250003D
104.2483 33.1858 5132250016D
104.3331 33.105 5132250023D
104.2092 33.1053 5132250030D
105.4628 32.3069 5108230001D
103.1595 29.13 5111320002D
103.1569 29.0608 5111320004D
102.8817 29.3003 5118230001D
102.5542 29.2119 5118230010D
102.74 29.4139 5118230013D
102.6969 29.3475 5118230015D
102.5283 29.2817 5118230021D
102.7669 29.3339 5118230024D
102.4086 29.165 5118240001D
102.0794 29.3819 5118240004D
102.6067 29.2214 5118230029D
102.6419 29.3425 5118230030D
104.3003 33.0892 5132250022D
104.347 33.0861 5132250025D
104.1986 33.1467 5132250026D
104.14 33.0972 5132250028D
104.2422 33.1528 5132250031D
104.4 33.2533 5132250033D
104.3578 33.1783 5132250034D
104.3908 33.3253 5132250048D
104.3922 33.3339 5132250050D
99.8594 28.7925 5133360077D
99.8594 28.7925 5133360080D
103.7336 30.2211 5114220001D
102.9372 30.2917 5118260018D
103.6692 32.4611 5132240002D
103.6275 32.3236 5132240009D
103.9194 32.7753 5132240023D
103.4289 31.9269 5132280036D
102.1819 31.9219 5132290017D
102.1258 31.895 5132290027D
102.0378 31.7178 5132290036D
101.8789 32.1069 5132290073D
100.7889 38.4675 5132300005D
109.5131 34.4325 6105020324D
109.5233 34.4222 6105020345D
109.5995 34.4958 6105022121D
109.5142 34.4411 6105022135D
103.6742 32.405 5132240003D
103.5867 32.6233 5132240051D
103.5972 32.6258 5132240057D
103.5347 32.6019 5132240065D
103.5986 32.5275 5132240068D
102.0172 31.2986 5132260008D
102.0911 31.2536 5132260042D
102.0781 31.5356 5132260045D
102.0636 31.1367 5132260074D
102.9797 32.0781 5132280011D
102.5106 31.9047 5132290005D
102.0117 32.0022 5132290046D
102.0122 32.0353 5132290047D
102.0286 31.9939 5132290048D
102.04 32.2128 5132290049D
102.2378 32.1383 5132290064D
101.5845 32.93 5132310002D
102.9975 30.1311 5118020001D
102.8408 29.8697 5118220004D
103.1372 30.4803 5118260005D
104.0992 32.7189 5132240029D
104.135 32.5908 5132240044D
102.4725 31.4725 5132260032D
101.9133 31.6189 5132260037D
103.4897 30.9242 5101810012D
103.5717 31.0267 5101810013D
103.1139 30.3256 5101830002D
103.3892 30.7367 5101840000D
103.5192 30.7872 5101841111D
103.4839 30.7922 5101844444D
106.995 32.3103 5119220002D
106.6336 32.0197 5119220006D
103.1194 31.4414 5132220002D
104.2267 33.2931 5132250008D
104.2211 33.3411 5132250013D
104.3583 32.9969 5132250020D
104.3022 33.1414 5132250024D
103.0581 28.8533 5111320005D
103.4261 29.4092 5111810001D
102.9919 29.5739 5114230001D
104.8175 28.0483 5115260001D
102.6217 29.4286 5118230003D
102.4211 29.2344 5118230007D
102.6647 29.3639 5118230009D
102.5542 29.2119 5118230011D
102.5958 29.2414 5118230016D
102.5958 29.2417 5118230023D
102.8558 29.3269 5118230025D
102.5595 27.2328 5134270004D
102.8472 27.6084 5134290003D
102.8471 27.6064 5134290005D
102.7969 27.4781 5134290009D
102.8241 27.3697 5134290018D
102.8439 27.3502 5134290019D
102.8108 27.3937 5134290020D
107.0086 32.6219 5119220001D
107.0058 32.5481 5119220004D
106.8375 32.3206 5119220007D
104.2247 33.2928 5132250004D
104.1883 33.2942 5132250007D
106.5497 32.5692 5108210003D
106.1336 32.2114 5108210005D
105.3556 32.4094 5108220001D
103.0711 28.9947 5111320003D
109.3272 18.4069 4602010001D
103.1331 30.4831 5118260004D
103.0847 30.4967 5118260009D
103.0956 30.4733 5118260012D
102.9625 30.2814 5118260017D
103.6742 32.1944 5132240001D
103.6203 32.3439 5132240006D
104.1369 32.6006 5132240047D
103.5906 32.6189 5132240053D
103.6375 32.3575 5132240022D
104.0336 32.6797 5132240032D
104.1567 32.5244 5132240033D
104.1369 32.6006 5132240050D
103.5928 32.6194 5132240062D
101.5008 31.7453 5132260017D
103.0978 32.0678 5132280019D
102.4556 31.8339 5132290003D
102.4514 31.8686 5132290009D
111.05 25.4903 4503270002D
111.0847 25.5367 4503270003D
111.0422 25.4628 4503270004D
111.1342 25.5636 4503270005D
111.1397 25.5564 4503270006D
111.2492 25.635 4503270007D
111.2083 25.5697 4503270008D
111.1814 25.5681 4503270009D
110.9319 25.2492 4503270010D
110.9342 25.2486 4503270011D
110.972 25.2647 4503270012D
110.9006 25.2875 4503270013D
110.9656 25.2786 4503270014D
110.9472 25.2769 4503270015D
110.9644 26.1811 4503270016D
109.8514 25.6356 4503280001D
109.8339 25.5242 4503280002D
110.4919 26.0961 4503290001D
124.1608 40.8083 2106820044D
124.3767 40.6986 2106820045D
124.3592 40.7456 2106820046D
124.3764 40.6983 2106820047D
124.1022 40.3556 2106820048D
124.3958 40.9078 2106820049D
102.0622 31.2728 5132260041D
102.0022 31.2953 5132260053D
102.0111 31.2361 5132260073D
