山洪隐患点 34169
109.5258 18.7492 番道村委会
109.0961 18.7781 田头村
109.5839 18.285 大茅水
109.3045 19.2483 牙旺
109.2194 19.2933 南洋
109.5783 19.4786 头佑村
110.1531 18.7064 桥中村
110.5383 19.0642 文渊村
110.2444 18.8844 尖岭村
110.4153 18.8658 多荫村
110.6169 19.4964 槟榔仔一、二队
114.1206 39.5189 黑寺
114.1308 39.4894 辛庄
114.1136 39.4669 上梭
114.1528 39.4694 董家台
114.175 39.5164 西玄风
114.0639 39.2072 韩家平
114.1783 39.4769 东武庄
114.4197 39.3075 大作
114.4178 39.3711 徐台
114.0828 38.6575 上北泉
114.375 39.2767 刘庄
113.9992 39.3303 白台
114.3581 39.2547 口头
114.2136 39.37 下寨北
114.2547 39.1853 串岭
114.2192 39.1861 大兴庄
114.1272 39.2172 振华峪
98.5986 24.3858 党良新寨
98.2406 24.3253 弯丹小组
98.4233 24.3883 芒究小组
98.4319 24.5128 芹菜塘小组
98.4514 24.5025 水井小组
98.5172 24.4553 下团坡小组
100.6278 35.6539 下洛洼村
100.4539 35.7408 郭玉乎村
100.835 35.9986 关塘村
100.835 35.9986 关墉村
103.6669 27.9453 水竹村隐患点
101.8669 36.1656 下曲加村等
100.4506 35.7303 麻格塘村
100.7189 35.6119 下江当村
109.3022 34.9425 宏化
109.2711 35.0278 兰山河
109.2839 35.0997 铁北
109.3961 35.0767 党山
109.3114 35.0997 于家沟
109.4014 35.105 岳家山
109.8492 35.0825 村庄
109.6328 35.0342 村庄
109.4975 35.1428 村庄
101.9561 36.2228 扎巴镇的本康沟等
119.4306 29.3708 邵坞村
99.6511 33.8636 上贡麻乡乡政府
110.4061 37.2861 白家川崩塌
110.1194 37.0917 东门湾崩塌
108.3933 37.2508 柳沟
108.5858 37.0944 饮马坡
110.0467 37.4328 坝梁
110.1986 37.6614 生产居住区
109.7072 38.2986 房家沟
107.6042 37.4514 新墩
103.5458 24.5136 雅乐村
103.5342 24.5008 雨洒村
103.7486 24.6317 爵册村
100.8483 31.8483 仁达村点
102.5011 29.8044 三合乡建政村6组
104.2319 31.0978 东禅寺村
104.1225 31.025 群力村
98.3847 32.0664 麦拉沟
104.0847 24.4969 大河沟
104.3525 24.5139 老箐
104.28 24.6164 小河沟
104.7753 27.7817 老街
104.8336 27.8283 四方地
104.8897 27.8192 河底下
104.8839 27.8397 木瓦房
103.565 24.5319 普泽村
109.5333 34.3667 雷家堡
109.55 34.3167 五渠沟村
109.5667 34.3 南岔沟
109.5667 34.2 庙底村
109.5667 34.3167 畅家窑
109.5667 34.35 邓家村
109.5667 34.3 相家村
109.9458 34.5294 秦岭发电厂
110.0545 34.5256 西北第二合成药厂
110.1036 34.5411 黄河工程机械厂
110.1033 34.5356 华山冶金车辆厂
109.1136 34.9344 陈家
109.1472 34.9375 程炉
109.1064 34.9756 岭背后
109.1672 34.9739 中沟
109.1389 34.9 沟北
109.1267 34.9014 庄科
109.1267 34.9014 庄科
109.1669 18.3728 龙潭河
109.7519 19.2889 暂无
109.4256 19.0622 道友麦
109.3675 19.0094 莫好
109.3619 19.1808 木开
109.6203 19.1928 白水港
109.6403 19.1292 罗任
110.3692 19.5986 常树坡村
109.8261 18.885 暂无
109.912 19.0789 中郎村
109.8561 19.1269 国营乌石农场场部
109.8764 18.7972 新安村
110.1111 18.9739 国营南方农场场部
109.5158 18.9444 毛栈村委会
109.5161 18.9511 毛贵村委会
109.6028 18.7272 南圣村委会
109.5578 18.75 番慢村委会
109.4389 18.6964 毛招村村委会
109.4578 18.8053 福利村委会
120.5692 36.7183 中埠后村
120.7814 36.9014 北山后村
120.7906 36.8747 东赵格庄村
120.8006 36.8547 铎山前村
120.8231 36.8408 河马崖村
120.7656 36.8908 后发坊村
120.7647 36.8867 前发坊村
120.7869 36.8892 十字埠村
120.8247 36.8583 田家灌村
120.8047 36.8853 拖子村
120.7856 36.8769 西赵格庄村
120.6964 36.6178 东杜林头村
101.6028 24.7036 小村
101.8661 24.5675 道路
101.8717 24.7133 马当啷
101.8958 24.5906 红栗村
101.9994 24.4081 扒义足
119.3539 35.8214 西瓦窑沟村
119.3558 35.8536 小王疃村
119.9994 36.9819 东高家村
119.9992 36.9569 所里头村
120.7642 37.4844 大刘家
120.7767 31.6231 辛旺集
120.7903 37.5958 柳格庄
121.0664 37.2994 高家沟村
121.0595 37.3111 黑夼村
121.0608 37.325 虎斑石村
121.0942 37.3169 上林家岘村
121.0895 37.3178 下林家岘村
121.0817 37.3214 许家台村
121.0669 37.3539 草格夼村
121.1067 37.3797 后罗坡村
121.0817 37.3625 龙湾村
121.0914 37.3961 栾家庄
121.0803 37.3556 骂阵口村
121.1075 37.3747 前罗坡村
121.0572 37.3433 山西夼村
121.0936 37.3628 下汪夼村
121.0692 37.3378 枣园村
121.0908 37.4125 楼西夼村
102.7833 23.9667 桥头村隐患点
102.9667 24.15 竹鸡河村隐患点
102.7333 23.6333 团山村隐患点
102.7833 23.7 大寨村隐患点
102.8667 23.9167 水寨村隐患点
102.6667 23.3333 苍台村隐患点
121.1047 37.3917 上林家村
121.122 37.4067 上邺夼村
121.1181 37.4075 下邺夼村
121.1169 37.3969 杨家夼村
121.5756 37.1167 南台村
121.5986 37.1778 恒邦冶炼
121.5897 37.1822 牟平金矿
121.6267 37.1528 太格庄
121.6175 37.1631 卧龙村
120.6711 37.0367 青石山村
120.6453 36.8956 横岚埠村
120.6572 36.8803 金岗口村
114.1842 39.2119 张湾
114.0939 39.2011 东庄
114.1369 39.2053 站上铺
114.36 39.6164 白北堡村
114.3708 39.6028 北上庄
114.3917 39.6231 磨石沟
114.1453 39.595 石瓮
114.1194 39.5767 盘道沟
114.2658 39.6047 义泉岭
107.8211 27.6872 风光组郑家山
107.7803 28.5647 前进村野毛水组
107.7828 28.5783 永和村楠木组
107.6597 28.0989 桃子坪
107.5506 27.7111 无
107.4214 27.7514 无
107.3825 27.6122 街上组
107.31 27.6331 毛口组
107.1692 26.9261 半边山滑坡
108.0464 27.2864 塘头滑坡
108.0883 27.2889 王家坪滑坡
107.8039 28.0272 青树湾欧弟福家屋后
107.7292 27.8786 白岩组
107.7189 27.9878 柏梓村中寨组
109.2114 27.5228 万山镇
105.7917 24.7889 板碰滑坡
105.0914 25.7608 红寨组
105.3081 26.2392 牛坡倮那大寨
105.3447 26.0894 郎岱镇
106.405 25.7944 睦化
107.3311 25.8486 下冲滑坡
108.0953 25.9669 巫卜滑坡
108.1 26.0286 排洞滑坡
110.7989 32.3719 大河湾村
110.69 32.3372 花楼门村
110.6681 32.3025 黄泥沟村
110.6969 32.2947 龙坪村
110.69 32.2644 土城村
110.7256 32.0586 泉水社区
110.7239 32.0586 下西关社区
110.7144 32.0597 小西关社区
110.7197 32.0586 中西关社区
110.6883 32.0631 高碑村
110.6719 32.0969 六谷村
110.6558 32.0736 刘家畈村
110.6186 32.0625 上茅坪村
110.64 32.0622 双柏村
110.6306 32.0739 下茅坪村
110.6283 32.1828 易沟村
110.5822 32.1636 指北村
110.72 32.0722 莲花村
110.7422 32.0825 桃园社区
110.7467 32.1122 大里村
110.7322 32.1106 邓营村
110.7328 32.0861 古桥村
110.7133 32.1561 桂坪村
110.6981 32.0889 塘溪村
110.7128 32.1133 谢湾村
110.75 32.0878 营盘村
110.7736 32.1222 付家村
110.7894 32.1442 堰河村
110.7372 32.0603 北关社区
110.7422 32.0825 桃园社区
110.7444 32.0925 付畈村
110.7328 32.0861 古桥村
110.7214 32.1183 况营村
110.7397 32.0919 五将村
110.7006 32.0847 五龙村
110.75 32.0878 营盘村
110.7286 32.0469 白路社区
110.7169 32.0461 白土村
110.7172 32.0358 炳公村
110.745 32.0453 花宝社区
110.7311 32.0569 老城社区
110.7403 32.0481 联观社区
110.69 32.0261 三海村
110.7394 31.9839 南潭村
110.7222 31.9067 杜家川村
110.7306 31.9344 桥上村
110.7008 32.0625 305省道
110.6292 32.0439 中村村
110.7306 31.9344 谭家湾水库
110.4642 32.0078 胡家街村
110.5175 31.9753 会子营村
110.4958 32.0253 彭家湾茶厂
110.5106 32.0203 山羊养殖厂
110.5392 32.0742 古城村
110.55 32.0572 化龙村
110.5386 32.1039 庄房村
110.5925 32.0661 军马村
110.5789 32.0717 小峪村
111.8428 31.6003 花庄村
111.5567 31.4914 全家湾、大洼
111.7636 31.0958 肖堰陈家榜村
111.81 31.2939 黑河村5组
111.5561 31.5997 将军石、宋家湾
111.7314 31.7922 水田坪
111.6183 31.75 长岭村杨树井
111.8142 31.8656 双池寺
111.7289 31.8481 胡家洼、四龙庙
111.4333 31.7528 寨湾村
112.9128 31.3075 双峰观村1组双峰观
113.2339 31.3144 张家冲村4组梅家冲
113.1725 31.2439 全力村四组南北冲
113.1042 31.4033 九峰村2组汪家河
114.4331 31.7256 旧寨沟
114.3992 31.7447 西沟档
114.4408 31.5542 阚家冲
108.4758 26.3 怎吉
108.4095 26.1822 平定
106.3597 25.9006 冗进
106.5581 25.5547 滑坡
109.2211 25.8531 岑母村亚银组滑坡
108.675 25.9844 宰荡
108.0072 27.28 九龙滑坡
107.8039 28.0272 青树湾欧弟福家屋后
107.8545 27.7286 荷花组白黄泥塘
117.175 35.8253 梅家村隐患点
117.1675 35.7911 翟家庄隐患点
117.1831 35.8139 朱家洼隐患点
116.6233 36.2133 兴隆
116.8392 36.2633 孙家楼
