中小河流域隐患点 27031
104.9583 28.2372 酸枣树滑坡
105.485 28.6639 白节镇场镇
100.2042 31.7458 四通达桥
100.4339 31.5578 秋所村
100.5586 31.4664 瓦各村
100.3108 31.6356 朱倭村
103.1175 32.0744 红岩乡红岩村隐患
102.9836 32.0839 芦花新区隐患
103.1683 31.0603 麻窝乡隐患
102.1722 30.1131 康定县三中背后崩塌
102.06 30.5125 寸达村河坝后山危岩带
102.1853 30.1164 时济村大息沟泥石流
103.0817 29.2658 永乐电站
103.31 29.33 五一堤防
102.0869 31.3106 安宁乡八角碉村
102.0989 31.2839 安宁乡炭厂沟村
101.9925 31.365 独松乡电站
117.6303 37.4636 黄盆村
117.6517 37.4742 西官庄村
118.8197 35.4689 长虹岭页岩矿（崩塌）
119.0417 35.5761 南涧村（滑坡点）
119.0264 35.6025 吴家村公路（崩塌）
118.7819 35.5467 东苏庄村东北河坍塌
119.0231 35.5575 张家村（崩塌）
107.6419 32.9086 李家沟村
109.2681 34.9092 小惠
109.2667 35.0333 青兰
109.2583 35.0833 十二盘村
108.2833 34.9889 水泥厂
109.2583 35.0833 王马
109.2167 34.8167 上官
109.1667 34.75 城区
109.0667 34.8167 庄里
107.4297 32.8161 骆镇村
107.5536 33.9544 三友村2组，苦竹坝小
107.6258 33.0453 互助村1组，火地沟村
107.5536 33.9544 三友村2组，苦竹坝小
107.4317 32.8161 龙池村，红星村
107.5833 32.8667 杨泗村
119.7772 30.4608 鸬鸟镇牛坞弄张根法
116.8061 37.3239 盐场
116.6981 37.4589 桥头宋段
115.7936 36.5431 王铺点
116.0847 36.5128 庄庄点
116.4372 35.9167 宿城
117.8422 25.6956 红星村
108.2533 25.0025 洛阳镇古昌村下罗屯
108.2639 25.0239 洛阳镇古昌村玉黄一队
101.9844 31.7622 集沐乡根扎村
102.0053 31.6572 集沐乡周山村
102.1464 31.2317 卡撒乡山埂子村
102.1228 31.5189 勒乌乡新开村
102.0783 31.5647 咯尔乡德胜村
102.0697 31.5417 咯尔乡乡政府
102.0025 31.2436 马尔邦乡乡政府
101.9211 31.1603 马奈乡耿扎村
99.0444 31.5911 阿木拉村
103.1394 32.2369 晴朗日格老
103.1456 32.1622 扎窝隐患
103.3289 28.0628 千拖村滑坡
103.13 28.3408 巴普三河村4、7组
103.0847 28.5111 峨曲古乡政府
102.9345 28.4583 板洛村小学
103.0289 28.1903 洛俄依甘乡大桥
102.9817 28.2767 牛牛坝乡卫生院滑坡
103.1458 28.5578 华岗电站
103.1261 28.6022 依果觉乡政府
104.2833 31.1367 金轮大桥
104.3578 30.9944 金鱼大桥
104.4461 30.9981 连山大桥
104.347 31.0736 108国道大件路桥
104.4819 31.285 三叉河村5组
104.6 31.09 绵远河穿山堰
103.6006 32.6411 岷江上段
104.0831 38.6578 江碥
103.8222 30.5789 擦耳岩
103.8253 30.5636 除瓦窑
106.8008 31.7717 白皮山滑坡
105.7214 31.495 马龙庙村
105.8978 31.3606 同心村
103.6039 28.5178 西宁集镇后山泥石流
100.9167 31.1333 村庄
100.8489 31.2125 仁达村
100.745 31.2994 瓦龙村
100.6867 31.3997 县藏医院
100.7689 31.2961 虾拉沱村
103.6217 32.3381 小姓沟
106.7939 31.2536 水匣子
101.9697 30.06 郭达街后山危岩
101.9572 30.0264 康定中学不稳定斜坡
99.2956 32.2439 康郎村
99.4994 32.0031 扎多村
99.9681 31.6175 雅桥村
100.2994 30.47 伦多村沟
100.5964 29.1481 干呷村
99.82 29.8311 伊拉克村
100.3111 31.0997 足依沟泥石流
101.9269 27.2478 小司达2社
117.3439 39.6406 官庄放淤闸
117.3833 39.605 菜芽引水闸
107.6078 32.8125 焦家村，狮庄村
81.6431 42.9508 阔克铁热克乡
80.762 44.1922 清水河镇一中
81.7278 43.1603 阔步村
102.522 27.4081 二道马口滑坡
102.5789 27.4131 龚家湾子滑坡
102.5761 27.3908 老鹰岩沟泥石流
102.5678 27.3275 棉花沟泥石流
102.5642 27.3903 水对溪滑坡
102.5478 27.3778 宋家沟泥石流
102.597 27.515 盐水沟泥石流
105.1231 29.1853 新建村6组三学堂
101.9372 31.1739 马奈乡政府
102.0667 31.4833 金川国家观测站
102.0292 31.4822 金川镇八部里村
102.0581 31.6122 庆宁乡新沙村
102.0614 31.5161 沙尔乡乡政府
100.4042 31.7453 卡娘村
100.7086 31.4739 乃衣村
100.6894 31.5186 真都村
98.8306 31.1969 建设镇播麦村格桑沟泥
95.75 31.25 金沙乡多来村滑坡
99.09 31.09 麻绒乡马门村泥石流
98.86 31.1494 绒盖乡仲学村公路不稳
98.9 31.12 章都乡东拓村公路不稳
103.4517 30.0892 黄山村5组
105.05 30.0778 小刘庵村
105.0169 30.8294 中和场镇红星村
104.222 30.9072 向阳大桥
104.265 30.9261 成绵高速青白江大桥
103.4408 29.7239 小坡
120.33 36.4239 普东立交桥
120.1717 36.4908 北岔河村
120.205 36.5914 堤前村
120.3081 36.7211 程家小里村
120.3347 36.7269 东庄头村
120.2942 36.6964 渚洲村
120.4681 36.8494 东沙埠村
120.4194 36.7906 马家会村
120.4558 36.8722 青岛九联集团
120.3839 36.7622 王家寨子村
120.4467 36.7953 徐家会村
116.9083 40.5886 沙峪里后沟
116.8497 40.6264 石城镇西湾子村石炮沟
106.7778 31.7633 三江镇初级中学滑坡
106.6903 31.7386 宝元寺村危岩
106.6817 31.7344 三清庙村2社不稳定斜
106.6883 31.2806 石城中学滑坡
105.6283 30.8353 蒋家桥村
105.6417 30.6886 龙胜垭村
105.5647 30.735 南岳村隐患点
105.7236 30.8239 两河口村
105.6147 30.6686 连山村
105.71 30.4253 倒流溪村
105.7653 30.5994 文峰村
105.7339 30.4117 细坝村
105.4989 30.6647 顺江村
105.6047 30.8236 凤凰嘴村
105.6106 30.6822 西林村
105.5606 30.6281 涪山坝村
105.8142 30.52 杨柳沟村
105.6936 30.5025 瓦房沟村
105.6436 30.92 回龙山村
120.9897 37.2594 上哨村
120.9931 37.2131 泽头村
120.7536 37.3042 马嘶庄
120.7378 37.3022 马疃村
120.7486 37.1539 下渔钓村
120.3022 37.0444 北墅村
105.6936 32.3317 战胜村采沙场
106.1511 30.8106 猫儿沟5组
104.5931 28.1339 石榴滑坡
104.6092 28.1411 水井湾滑坡
104.6183 28.145 杨家塝滑坡
104.5978 28.14 竹林湾滑坡
104.6328 27.9378 大烂田滑坡
104.1011 26.2189 冒水村
120.5408 36.3389 团彪村
120.5628 36.3328 西水蛟
120.3939 36.3958 魏家村
118.1047 35.2903 胡阳镇
118.1344 35.2028 探沂镇
117.7461 35.4725 隐患点1
103.3339 29.7039 张湾
103.5039 29.7467 高田坡
103.34 29.7789 张山坡
103.5058 29.7919 迎江小学
103.5825 29.8667 石骨砍
103.69 29.55 青徐河堤
103.67 29.59 青徐河堤
98.5806 31.8081 杨西村
98.5861 31.7911 燃卡村
119.0486 35.4842 车疃
