滑坡隐患点 48197
101.9958 31.2319 5132260025S
102.0361 31.615 5132260031S
105.9436 30.9 5113250038S
109.9956 37.8608 6108270002S
109.9903 37.86 6108270003S
110.0339 37.86 6108270004S
110.1872 37.7628 6108270005S
108.5792 34.7922 6104300001S
108.5989 34.7856 6104300003S
108.58 34.7931 6104300004S
108.5803 34.7933 6104300005S
108.5806 34.7936 6104300006S
108.5808 34.7939 6104300007S
108.575 34.7975 6104300008S
108.5786 34.7981 6104300009S
108.5758 34.7947 6104300010S
108.5797 34.7931 6104300011S
108.5767 34.7953 6104300012S
108.5814 34.7967 6104300013S
108.5986 34.7836 6104300002S
108.1617 34.8594 6104260000S
109.0442 35.0728 6102020037S
109.0489 35.0689 6102020038S
109.0895 35.0728 6102020039S
109.0936 35.0583 6102020040S
109.1331 35.0694 6102020041S
109.062 35.0764 6102020042S
109.0483 35.0625 6102020043S
109.075 35.0925 6102020044S
109.0764 35.0794 6102020045S
109.4345 32.5253 6109260195S
100.1664 30.9008 5133290027S
99.0292 31.5828 5133300005S
98.7117 31.2719 5133310005S
102.6139 26.5367 5134260010S
102.5506 26.3733 5134260044S
102.6639 26.3658 5134260059S
102.5733 27.4375 5134280008S
103.2508 27.7058 5134300003S
103.255 27.655 5134300008S
103.1494 27.8911 5134300022S
103.1733 27.9003 5134300023S
103.2181 27.6528 5134300054S
102.0047 31.7389 5132290042S
102.2628 32.1428 5132290061S
101.0639 30.5797 5133260029S
100.3856 30.8894 5133290010S
98.5683 31.7172 5133300002S
99.777 28.9569 5133360019S
99.8761 28.7925 5133360022S
102.5739 26.665 5134260026S
106.0094 31.0075 5113250032S
105.9267 31.0306 5113250037S
106.045 31.0642 5113250080S
104.1208 30.0022 5114210001S
103.4414 30.2306 5114220008S
104.5811 28.1125 5115270019S
105.1811 28.1233 5115280007S
107.5117 31.3042 5117020007S
105.277 25.5258 5223220026S
105.4558 25.4044 5223220028S
105.2736 25.5492 5223220032S
107.9931 28.055 5222270005S
108.5497 28.3708 5222280012S
104.7494 25.0003 5223010010S
105.1947 25.4156 5223220006S
105.5681 25.6275 5223220035S
105.2956 25.3792 5223220043S
105.1372 25.4136 5223220051S
105.0725 25.7689 5223230022S
105.0914 25.7608 5223230023S
105.9244 25.3836 5223230028S
105.0586 25.7319 5223230037S
105.0989 26.1319 5223240015S
105.7625 25.3775 5223250002S
105.9583 25.5178 5223260003S
106.115 25.3197 5223260023S
105.5383 26.7031 5224260009S
104.585 26.8536 5224270004S
104.3447 26.6975 5224270011S
104.8453 27.3344 5224280001S
108.2506 34.8836 6104260001S
108.3353 34.8861 6104260002S
108.1675 34.7717 6104260003S
104.4808 30.9719 5106810008S
104.6717 31.4942 5107030001S
105.72 32.1028 5108110004S
105.5881 30.4064 5109030001S
105.22 30.27 5109040011S
106.4278 31.065 5113230017S
103.3908 30.2092 5114220007S
104.2669 30.5253 5101120014S
104.9128 29.2839 5103110002S
104.5869 30.2878 5101120287S
104.18 30.3597 5101220015S
